Lettuce color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
RED,R1,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
RED,R2,0.17,0.03,0.9472,0.1053,0.026,0.921,05/12/2025,White+Blue LED
RED,R3,0.28,0.03,0.5231,0.1204,0.03,0.493,05/12/2025,White+Blue LED
RED,R4,0.39,0.03,1.1758,0.1733,0.043,1.132,05/12/2025,White+Blue LED
RED,R5,0.22,0.03,0.8803,0.1148,0.029,0.852,05/12/2025,White+Blue LED
RED,R6,0.19,0.03,1.305,0.1175,0.029,1.276,05/12/2025,White LED
RED,R7,0.17,0.03,0.4376,0.1128,0.028,0.409,05/12/2025,White LED
RED,R8,0.19,0.03,1.021,0.0999,0.025,0.996,05/12/2025,White LED
RED,R9,0.22,0.03,0.8077,0.0893,0.022,0.785,05/12/2025,White LED
RED,R10,0.15,0.03,0.8298,0.0927,0.023,0.807,05/12/2025,White LED
RED,R11,0.18,0.03,0.5975,0.0988,0.025,0.573,05/12/2025,Shade
RED,R12,0.23,0.03,0.3081,0.0959,0.024,0.284,05/12/2025,Shade
RED,R13,0.19,0.03,0.3898,0.0959,0.024,0.366,05/12/2025,Shade
RED,R14,0.25,0.03,0.3802,0.1018,0.025,0.355,05/12/2025,Shade
RED,R15,0.18,0.03,0.3379,0.0978,0.024,0.313,05/12/2025,Shade
GREEN,G1,0.3,0.03,0.1833,0.0969,0.024,0.159,05/12/2025,White+Blue LED
GREEN,G2,0.12,0.03,0.1172,0.0677,0.017,0.1,05/12/2025,White+Blue LED
GREEN,G3,0.31,0.03,0.147,0.0809,0.02,0.127,05/12/2025,White+Blue LED
GREEN,G4,0.32,0.03,0.1635,0.0888,0.022,0.141,05/12/2025,White+Blue LED
GREEN,G5,0.38,0.03,0.1606,0.0944,0.024,0.137,05/12/2025,White+Blue LED
GREEN,G11,0.26,0.03,0.129,0.0726,0.018,0.111,05/12/2025,Shade
GREEN,G12,0.37,0.03,0.138,0.0803,0.02,0.118,05/12/2025,Shade
GREEN,G13,0.17,0.03,0.1169,0.0625,0.016,0.101,05/12/2025,Shade
GREEN,G14,0.18,0.03,0.1072,0.0611,0.015,0.092,05/12/2025,Shade
GREEN,G15,0.2,0.03,0.1185,0.0635,0.016,0.103,05/12/2025,Shade
RED,C1,0.23,0.03,0.6346,0.0947,0.024,0.611,05/12/2025,Control-Sun
RED,C2,0.22,0.03,0.683,0.0735,0.018,0.665,05/12/2025,Control-Sun
RED,C3,0.24,0.03,0.8348,0.1194,0.03,0.805,05/12/2025,Control-Sun
RED,C4,0.2,0.03,1.0048,0.1252,0.031,0.974,05/12/2025,Control-Sun
RED,C5,0.21,0.03,1.5604,0.1099,0.027,1.533,05/12/2025,Control-Sun
GREEN,C6,0.55,0.03,0.1359,0.0744,0.019,0.117,05/12/2025,Control-Sun
GREEN,C7,0.44,0.03,0.1359,0.0915,0.023,0.113,05/12/2025,Control-Sun
GREEN,C8,0.23,0.03,0.1447,0.0786,0.02,0.125,05/12/2025,Control-Sun
GREEN,C9,0.33,0.03,0.1504,0.08,0.02,0.13,05/12/2025,Control-Sun
GREEN,C10,0.33,0.03,0.2007,0.1075,0.027,0.174,05/12/2025,Control-Sun
