Lettuce color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
RED,R1,1.32,0.03,0.3447,0.4428,0.111,0.234,31/12/2025,White+Blue LED
RED,R2,1.71,0.03,0.4441,0.7598,0.19,0.254,31/12/2025,White+Blue LED
RED,R3,2.77,0.03,0.5158,0.5741,0.144,0.372,31/12/2025,White+Blue LED
RED,R4,1.8,0.03,0.3692,0.5843,0.146,0.223,31/12/2025,White+Blue LED
RED,R5,1.61,0.03,0.4115,0.4563,0.114,0.297,31/12/2025,White+Blue LED
RED,R6,1.29,0.03,0.3906,0.5912,0.148,0.243,31/12/2025,White LED
RED,R7,1.17,0.03,0.4189,0.6681,0.167,0.252,31/12/2025,White LED
RED,R8,0.89,0.03,0.4001,0.6581,0.165,0.236,31/12/2025,White LED
RED,R9,1.53,0.03,0.3971,0.6621,0.166,0.232,31/12/2025,White LED
RED,R10,1.69,0.03,0.3766,0.5876,0.147,0.23,31/12/2025,White LED
RED,R11,1.37,0.03,0.4445,0.8693,0.217,0.195,31/12/2025,Shade
RED,R12,0.85,0.03,0.4124,0.6571,0.164,0.224,31/12/2025,Shade
RED,R13,1.04,0.03,0.3879,0.4841,0.121,0.236,31/12/2025,Shade
RED,R14,1.04,0.03,0.3571,0.5738,0.143,0.214,31/12/2025,Shade
RED,R15,1.15,0.03,0.3403,0.5243,0.131,0.209,31/12/2025,Shade
GREEN,G1,1.77,0.03,0.1367,0.3499,0.087,0.049,31/12/2025,White+Blue LED
GREEN,G2,1.33,0.03,0.1486,0.4449,0.111,0.037,31/12/2025,White+Blue LED
GREEN,G3,1.22,0.03,0.1177,0.2626,0.066,0.052,31/12/2025,White+Blue LED
GREEN,G4,0.87,0.03,0.136,0.3986,0.1,0.036,31/12/2025,White+Blue LED
GREEN,G5,0.76,0.03,0.1326,0.3809,0.095,0.037,31/12/2025,White+Blue LED
GREEN,G6,1.84,0.03,0.1095,0.2889,0.072,0.037,31/12/2025,White LED
GREEN,G7,1.62,0.03,0.1572,0.4775,0.119,0.038,31/12/2025,White LED
GREEN,G8,1.26,0.03,0.1188,0.3512,0.088,0.031,31/12/2025,White LED
GREEN,G9,0.89,0.03,0.1364,0.3635,0.091,0.046,31/12/2025,White LED
GREEN,G10,1.42,0.03,0.13,0.3798,0.095,0.035,31/12/2025,White LED
GREEN,G11,0.93,0.03,0.1282,0.3164,0.079,0.049,31/12/2025,Shade
GREEN,G12,1.86,0.03,0.1259,0.3516,0.088,0.038,31/12/2025,Shade
GREEN,G13,1.44,0.03,0.1122,0.2965,0.074,0.038,31/12/2025,Shade
GREEN,G14,0.44,0.03,0.1265,0.3537,0.088,0.038,31/12/2025,Shade
GREEN,G15,1.15,0.03,0.1363,0.3911,0.098,0.039,31/12/2025,Shade
RED,C1,1.24,0.03,0.4537,0.3259,0.081,0.372,31/12/2025,Control-Sun
RED,C2,1.28,0.03,0.7704,0.4259,0.106,0.664,31/12/2025,Control-Sun
RED,C3,1.09,0.03,0.6139,0.6157,0.154,0.46,31/12/2025,Control-Sun
RED,C4,1.22,0.03,0.5629,0.5422,0.136,0.427,31/12/2025,Control-Sun
RED,C5,1.61,0.03,0.6089,0.3531,0.088,0.521,31/12/2025,Control-Sun
GREEN,C6,2.12,0.03,0.1153,0.2914,0.073,0.042,31/12/2025,Control-Sun
GREEN,C7,1.34,0.03,0.1715,0.4975,0.124,0.047,31/12/2025,Control-Sun
GREEN,C8,1.67,0.03,0.1173,0.3287,0.082,0.035,31/12/2025,Control-Sun
GREEN,C9,1.52,0.03,0.1455,0.3441,0.086,0.059,31/12/2025,Control-Sun
GREEN,C10,1.2,0.03,0.1059,0.2438,0.061,0.045,31/12/2025,Control-Sun
